CustomerID,Age,Gender,Income,Location,ContractType,PaymentMethod,MonthlyCharges,TotalCharges,Tenure,CallMinutes,DataUsage,ServiceCalls,SatisfactionScore,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,Churn
CID000001,47,Male,31000.0,Suburban,Month-to-Month,Credit card,53.09,1772.18,34,327.0,93.7,0,4.0,No,DSL,No,No,No,No,Yes
CID000002,37,Male,40800.0,Suburban,Month-to-Month,Electronic check,58.71,4172.88,73,208.0,10.9,0,1.0,No,DSL,Yes,No,Yes,No,No
CID000003,49,Male,,Suburban,Month-to-Month,Electronic check,71.52,68.78,1,211.0,27.4,4,2.0,No,DSL,No,No,Yes,No,No
CID000004,62,Male,,Urban,Month-to-Month,Mailed check,64.18,4934.07,77,233.0,63.0,3,4.0,No,No,No,No,No,No,No
CID000005,36,Male,26500.0,Suburban,One Year,Electronic check,36.79,918.93,25,304.0,31.1,3,4.0,No,DSL,Yes,No,Yes,No,No
CID000006,36,Female,46600.0,Urban,One Year,Mailed check,95.17,663.26,7,181.0,1.0,2,4.0,Yes,Fiber optic,Yes,No,Yes,Yes,No
CID000007,63,Female,116700.0,Suburban,Two Year,Electronic check,43.98,2621.82,58,108.0,25.0,1,5.0,Yes,DSL,Yes,Yes,Yes,No,No
CID000008,51,Female,48500.0,Suburban,Month-to-Month,Electronic check,55.99,4299.93,80,125.0,19.7,6,5.0,No,No,No,No,No,No,Yes
CID000009,32,Male,82600.0,Suburban,One Year,Mailed check,54.34,221.06,4,108.0,17.3,2,4.0,No,DSL,No,Yes,Yes,No,No
CID000010,48,Male,54300.0,Urban,Month-to-Month,Credit card,67.76,5233.26,78,55.0,20.1,5,,No,No,No,No,No,No,Yes
CID000011,33,Male,71700.0,Suburban,Month-to-Month,Electronic check,76.21,1855.89,25,,15.4,1,5.0,No,DSL,Yes,No,Yes,No,No
CID000012,33,Other,51000.0,Rural,Two Year,Electronic check,39.2,1955.68,49,,29.4,1,5.0,No,No,No,No,No,No,No
CID000013,43,Female,95500.0,Urban,Month-to-Month,Bank transfer,94.93,3682.4,40,255.0,0.4,1,2.0,No,DSL,No,Yes,Yes,Yes,Yes
CID000014,18,Female,20300.0,Rural,Month-to-Month,Electronic check,41.32,361.87,9,177.0,5.2,3,2.0,No,Fiber optic,No,Yes,No,Yes,Yes
CID000015,18,Male,46400.0,Suburban,Month-to-Month,Electronic check,60.86,383.36,6,187.0,,3,4.0,No,Fiber optic,Yes,Yes,Yes,Yes,No
CID000016,31,Female,73700.0,Suburban,Month-to-Month,Electronic check,85.07,3800.19,43,190.0,,2,5.0,Yes,Fiber optic,No,No,No,No,Yes
CID000017,24,Male,87000.0,Urban,One Year,Bank transfer,70.38,717.67,10,175.0,3.5,3,5.0,Yes,DSL,No,Yes,Yes,Yes,No
CID000018,44,Female,170300.0,Urban,Two Year,Credit card,22.03,994.71,46,187.0,42.9,4,4.0,Yes,DSL,No,Yes,No,No,No
